ID,N/U,F/J,DaysLastBuy,ValueLastBuy,NumberOfPayments,FinishPaying,DaysLastService,NumberOfBuys,NumberOfServices,TotalSalesSpending,TotalServicesSpending,KM,Results
15370,N,F,2279.0,64300.0,0.0,2279.0,,3,0,385800.0,0.0,0,0.0
15371,N,F,2299.0,205000.0,0.0,2299.0,2116.0,4,6,820000.0,2066.92,6595,0.0
15372,N,F,2307.0,59500.0,0.0,2307.0,2519.0,3,1,178500.0,250.0,8893,0.0
15373,N,F,2325.0,56700.0,0.0,2325.0,966.0,3,7,170100.0,3552.6499999999996,24263,0.0
15374,N,F,2294.0,38400.0,0.0,2294.0,,4,0,460800.0,0.0,0,0.0
15375,U,F,2299.0,45000.0,0.0,2299.0,,3,0,135000.0,0.0,0,0.0
15376,N,F,2299.0,61083.0,0.0,2299.0,330.0,5,18,293249.0,13724.880000000001,18848,0.0
15377,N,F,2294.0,38400.0,0.0,2294.0,338.0,3,8,115200.0,5337.98,44104,0.0
15378,N,F,2299.0,59000.0,0.0,2299.0,1998.0,2,1,236000.0,714.0,7732,0.0
15379,N,F,2244.0,79000.0,0.0,2244.0,2391.0,9,23,1264200.0,30804.07999999999,30352,0.0
15380,N,F,2299.0,42900.0,0.0,2299.0,2032.0,1,4,42900.0,701.63,16966,0.0
15381,N,J,2297.0,205000.0,0.0,2297.0,1787.0,2,6,410000.0,463.37,23083,0.0
15382,N,F,2297.0,56000.0,0.0,2297.0,1023.0,5,3,831000.0,1914.8700000000001,14038,0.0
15383,N,F,2302.0,55000.0,0.0,2302.0,,5,0,275000.0,0.0,0,0.0
15384,N,F,2247.0,70000.0,0.0,2247.0,62.0,4,10,280000.0,7650.660000000001,57257,0.0
15385,U,F,2282.0,43500.0,0.0,2282.0,,2,0,87000.0,0.0,0,0.0
15386,N,F,2247.0,77500.0,0.0,2247.0,,2,0,310000.0,0.0,0,0.0
15387,N,F,2297.0,57800.0,0.0,2297.0,,3,0,346800.0,0.0,0,0.0
15388,U,F,2297.0,20900.0,0.0,2297.0,,2,0,41800.0,0.0,0,0.0
15389,N,F,2302.0,56500.0,0.0,2302.0,2050.0,3,2,339000.0,1312.28,10665,0.0
15390,N,J,2297.0,79000.0,0.0,2297.0,,2,0,158000.0,0.0,0,0.0
15391,N,F,2302.0,60000.0,0.0,2302.0,,3,0,180000.0,0.0,0,0.0
15392,N,F,2247.0,54500.0,0.0,2247.0,,2,0,109000.0,0.0,0,0.0
15393,N,F,2327.0,59650.0,0.0,2327.0,1862.0,4,3,238600.0,1571.0,17671,0.0
15394,N,F,2302.0,34300.0,0.0,2302.0,379.0,2,20,68600.0,7192.679999999999,69777,0.0
15395,N,F,2247.0,61000.0,0.0,2247.0,1756.0,3,3,549000.0,2275.5299999999997,20556,0.0
15396,N,F,2302.0,69500.0,0.0,2302.0,219.0,4,5,278000.0,2472.2000000000003,67273,0.0
15397,N,F,2302.0,41090.0,0.0,2302.0,,1,0,41090.0,0.0,0,0.0
15398,N,F,2282.0,56500.0,0.0,2282.0,,1,0,169500.0,0.0,0,0.0
15399,N,F,2297.0,176500.0,0.0,2297.0,614.0,2,13,353000.0,10430.63,55935,0.0
15400,N,F,2303.0,60500.0,0.0,2303.0,834.0,8,21,456000.0,11494.56,102092,0.0
15401,N,F,2303.0,69500.0,0.0,2303.0,,2,0,139000.0,0.0,0,0.0
15402,N,F,2298.0,70000.0,0.0,2298.0,360.0,3,20,210000.0,3696.4599999999996,29366,0.0
15403,N,F,2303.0,65000.0,0.0,2303.0,1435.0,3,6,195000.0,2669.2799999999997,43940,0.0
15404,N,F,2303.0,56000.0,0.0,2303.0,1512.0,3,13,168000.0,2380.6,59542,0.0
15405,N,F,2248.0,52000.0,0.0,2248.0,,2,0,312000.0,0.0,0,0.0
15406,N,F,2283.0,175600.0,0.0,2283.0,981.0,4,23,605800.0,8724.71,51133,0.0
15407,N,F,2248.0,55000.0,0.0,2248.0,1297.0,3,7,165000.0,2867.87,28172,0.0
15408,N,F,2283.0,39400.0,0.0,2283.0,361.0,5,9,197000.0,2571.62,109663,0.0
15409,N,F,2331.0,54000.0,0.0,2331.0,,2,0,864000.0,0.0,0,0.0
15410,N,F,2283.0,79000.0,0.0,2283.0,1766.0,3,2,237000.0,579.59,19192,0.0
15411,N,F,2283.0,52500.0,0.0,2283.0,700.0,2,2,105000.0,824.05,75655,0.0
15412,N,F,2303.0,44000.0,0.0,2303.0,1925.0,1,4,44000.0,987.0,10129,0.0
15413,N,F,2298.0,205000.0,0.0,2298.0,,2,0,410000.0,0.0,0,0.0
15414,N,F,2303.0,79000.0,0.0,2303.0,1590.0,3,2,237000.0,909.32,14074,0.0
15415,N,F,2248.0,70670.0,0.0,2248.0,,3,0,212010.0,0.0,0,0.0
15416,N,F,2303.0,52000.0,0.0,2303.0,,1,0,208000.0,0.0,0,0.0
15417,N,F,2248.0,59500.0,0.0,2248.0,1395.0,4,4,476000.0,2412.96,29710,0.0
15418,N,F,2304.0,68500.0,0.0,2304.0,,2,0,548000.0,0.0,0,0.0
15419,N,F,2332.0,60000.0,0.0,2332.0,,1,0,480000.0,0.0,0,0.0
15420,N,F,2304.0,35900.0,0.0,2304.0,1465.0,1,3,35900.0,1216.57,20591,0.0
15421,U,F,2299.0,38900.0,0.0,2299.0,515.0,3,2,116700.0,995.0699999999999,82627,0.0
15422,N,F,2304.0,56200.0,0.0,2304.0,1451.0,5,8,562000.0,1776.46,30149,0.0
